Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ARCIDAE,Acar plicata,"(Dillwyn, 1817)",,115526
HEMIDISCACEAE,Actinocyclus verrucosus,"Ehrenberg, 1831",,115614
HOLOTHURIIDAE,Actinopyga varians,"(Selenka, 1867)",,122843
AGLAOPHENIIDAE,Aglaophenia HAW01,,,178840
TROCHIDAE,Alcyna ocellata,"A. Adams, 1860",,123106
ALDISIDAE,Aldisa pikokai,"Bertsch & S. Johnson, 1982",,115766
ELLOBIIDAE,Allochroa bronnii,"(Philippi, 1846)",,123162
ELLOBIIDAE,Allochroa layardi,"(H. Adams & A. Adams, 1855)",,123163
ALPHEIDAE,Alpheus brevipes,"Stimpson, 1860",,74710
ALPHEIDAE,Alpheus clypeatus,"Coutière, 1905",,74712
ALPHEIDAE,Alpheus collumianus,"Stimpson, 1860",,74714
ALPHEIDAE,Alpheus deuteropus,"Hilgendorf, 1879",,74716
ALPHEIDAE,Alpheus diadema,"Dana, 1852",,74717
ALPHEIDAE,Alpheus gracilipes,"Stimpson, 1860",,75950
ALPHEIDAE,Alpheus gracilis,"C. Heller, 1862",,74720
ALPHEIDAE,Alpheus lobidens,"De Haan, 1850",,74727
ALPHEIDAE,Alpheus pacificus,"Dana, 1852",,74730
ALPHEIDAE,Alpheus paracrinitus,"Miers, 1881",,75916
ALPHEIDAE,Alpheus paracrinitus HAW01,,,178657
ALPHEIDAE,Alpheus paracrinitus HAW02,,,178658
ALPHEIDAE,Alpheus paralcyone,"Coutière, 1905",,74732
ALPHEIDAE,Alpheus rapacida,"De Man, 1908",,74738
ALPHEIDAE,Alpheus rapax,"J. C. Fabricius, 1798",,74739
HELICINIDAE,Amastra cylindrica,"(Newcomb, 1854)",,230007
HELICINIDAE,Amastra decorticata,"Gulick, 1873",,230008
HELICINIDAE,Amastra elliptica,"Gulick, 1873",,230009
AMASTRIDAE,Amastra rubens,"(Gould, 1845)",,179801
AMASTRIDAE,Amastra textilis,"(Férussac, 1825)",,178985
AMPHINOMIDAE,Amphinome rostrata,"(Pallas, 1766)",,85010
AMPHIURIDAE,Amphipholis HAW01,,,178842
AMPHIURIDAE,Amphipholis squamata,"(Delle Chiaje, 1828)",,26268
COLUMBELLIDAE,Anachis miser,"(G. B. Sowerby I, 1844)",,119006
PAGURIDAE,Anapagrides reesei,"(McLaughlin, 1986)",,74922
ECHIURIDAE,Anelassorhynchus sp. 6 of Goto 2016,,,178843
PLANAXIDAE,Angiola zonata,"(A. Adams, 1853)",,119029
HIPPONICIDAE,Antisabia foliaceus,,,5475
HIPPONICIDAE,Antisabia imbricata,"(Gould, 1846)",,124019
RISSOINIDAE,Apataxia cerithiiformis,"(Tryon, 1887)",,119049
APLUSTRIDAE,Aplustrum amplustre,"(Linnaeus, 1758)",,119051
APLYSIIDAE,Aplysia argus,"Rüppell & Leuckart, 1830",,116095
APLYSIIDAE,Aplysia elongata,"(Pease, 1860)",,178618
DARWINELLIDAE,Aplysilla JV02,,,178943
DARWINELLIDAE,Aplysilla rosea,,,102000
DARWINELLIDAE,Aplysilla sulfurea,"Schulze, 1878",,124064
METAPSEUDIDAE,Apseudes HAW01,,,178944
ASTERINIDAE,Aquilonastra anomala,"(H.L. Clark, 1921)",,116282
OENONIDAE,Arabella iricolor,"(Montagu, 1804)",,85961
ARCIDAE,Arca ventricosa,"Lamarck, 1819",,116142
CHROMODORIDIDAE,Ardeadoris angustolutea,"(Rudman, 1990)",,116164
OPHELIIDAE,Armandia HAW01,,,178844
ASCIDIIDAE,Ascidia sp.,"Linnaeus, 1767",,99789
ASCIDIIDAE,Ascidia HAW01,,,178845
ASCIDIIDAE,Ascidia nigra,"(Savigny, 1816)",,100276
ASCIDIIDAE,Ascidia sydneiensis,"Stimpson, 1855",,124323
MURICIDAE,Aspella producta,"(Pease, 1861)",,119065
ASPIDOSIPHONIDAE,Aspidosiphon HAW01,,,178846
ASTEROPSEIDAE,Asteropsis carinifera,"(Lamarck, 1816)",,25821
BRANCHIOSTOMATIDAE,Asymmetron lucayanum,"Andrews, 1893",,124558
BRANCHIOSTOMATIDAE,Asymmetron lucayanum clade B of Kon et al 2006,,,178659
ARCHIDORIDIDAE,Atagema HAW01,,,178847
COSTELLARIIDAE,Atlantilux rubra,"(Broderip, 1836)",,122422
HAMINOEIDAE,Atys semistriata,,,14643
ULMARIDAE,Aurelia sp. 4 of Dawson et al 2005,,,178848
HELICINIDAE,Auriculella malleata,"Ancey, 1904",,230151
AXIIDAE,Axiopsis serratifrons,"(A. Milne-Edwards, 1873)",,70729
AEOLIDIIDAE,Baeolidia salaamica,"(Rudman, 1982)",,116503
BALANIDAE,Balanus trigonus,"Darwin, 1854",,75435
XANTHIDAE,Banareia HAW01,,,178849
ARCIDAE,Barbatia foliata,"(Forsskål in Niebuhr, 1775)",,116530
ARCIDAE,Barbatia parva,"(G. B. Sowerby I, 1833)",,116537
BARENTSIIDAE,Barentsia HAW01,,,178850
BARLEEIIDAE,Barleeia calcarea,"Kay, 1979",,124818
VALENCINIIDAE,Baseodiscus delineatus,"(Delle Chiaje, 1825)",,124849
VALENCINIIDAE,Baseodiscus hemprichii,"(Ehrenberg, 1831)",,124851
PLEUROBRANCHIDAE,Berthella stellata,"(Risso, 1826)",,11366
PLEUROBRANCHIDAE,Berthellina delicata,"(Pease, 1861)",,116648
PLEUROBRANCHIDAE,Berthellina delicata HAW01,,,178660
PLEUROBRANCHIDAE,Berthellina delicata HAW02,,,178661
DESMACELLIDAE,Biemna fistulosa,"(Topsent, 1897)",,125025
ZEBINIDAE,Bittinella hiloensis,"(Pilsbry & Vanatta, 1908)",,143438
CERITHIIDAE,Bittium impendens,"(Hedley, 1899)",,125071
HOLOTHURIIDAE,Bohadschia GP01,,,178851
HOLOTHURIIDAE,Bohadschia paradoxa,"(Selenka, 1867)",,125118
CALYPTRAEIDAE,Bostrycapulus aculeatus,"(Gmelin, 1791)",,114688
STYELIDAE,Botrylloides HAW01,,,178852
STYELIDAE,Botryllus HAW01,,,178853
TRIPHORIDAE,Bouchetriphora pallida,"(Pease, 1871)",,119185
MYTILIDAE,Brachidontes crebristriatus,"(Conrad, 1837)",,119186
MYTILIDAE,Brachidontes crebristriatus HAW01,,,178662
MYTILIDAE,Brachidontes crebristriatus HAW02,,,178663
PALAEMONIDAE,Brachycarpus biunguiculatus,"(Lucas, 1846)",,79972
PECTINIDAE,Bractechlamys nodulifera,"(G. B. Sowerby II, 1842)",,119191
BRADYBAENIDAE,Bradybaena similaris,"(Ferussac, 1821)",,7849
SABELLIDAE,Branchiomma B of Capa et al 2013,,,178854
SYLLIDAE,Branchiosyllis cirropunctata,"(Michel, 1909)",,153652
OPHIOCOMIDAE,Breviturma brevipes,"(Peters, 1851)",,149478
OPHIOCOMIDAE,Breviturma pica,"(Müller & Troschel, 1842)",,149486
BURSIDAE,Bursa affinis,"(Broderip, 1833)",,125398
BURSIDAE,Bursa cruentata,"(G. B. Sowerby II, 1835)",,116844
BURSIDAE,Bursa granularis,"Roding, 1798",,5879
BURSIDAE,Bursa rhodostoma,"(G. B. Sowerby I or II, 1835)",,5884
BURSIDAE,Bursa rosa,"(Perry, 1811)",,119224
BUCCINIDAE,Caducifer decapitatus,"(Reeve, 1844)",,116867
CAECIDAE,Caecum sepimentum,,,4670
CALAPPIDAE,Calappa hepatica,"(Linnaeus, 1758)",,75011
DIOGENIDAE,Calcinus argus,"Wooster, 1984",,74891
DIOGENIDAE,Calcinus guamensis,"Wooster, 1984",,74894
DIOGENIDAE,Calcinus haigae,"Wooster, 1984",,74895
DIOGENIDAE,Calcinus hazletti,"Haig and McLaughlin, 1984",,74896
DIOGENIDAE,Calcinus laevimanus,"(J. W. Randall, 1840)",,74897
DIOGENIDAE,Calcinus latens,"(J. W. Randall, 1840)",,74898
DIOGENIDAE,Calcinus laurentae,"Haig and McLaughlin, 1984",,74899
CALIGIDAE,Caligus HAW01,,,178970
CALIGIDAE,Caligus HAW02,,,178971
HORMATHIIDAE,Calliactis polypus,"(Forskål, 1775)",,35332
TROCHIDAE,Calliotrochus marmoreus,"(Pease, 1861)",,116906
ARCIDAE,Calloarca tenella,"(Reeve, 1844)",,124811
CALLYSPONGIIDAE,Callyspongia JV01,,,178945
FACELINIDAE,Caloria sp. #3 of Pittman & Fiene accessed 2020,,,178855
STROMBIDAE,Canarium hellii,"(Kiener, 1843)",,116974
STROMBIDAE,Canarium maculatum,"(G. B. Sowerby II, 1842)",,119301
STROMBIDAE,Canarium wilsonorum,"(Abbott, 1967)",,119304
CLAVULARIIDAE,Carijoa HAW01,,,178856
TURRIDAE,Carinapex minutissima,"(Garrett, 1873)",,14293
DISCODORIDIDAE,Carminodoris grandiflora,"(Pease, 1860)",,117072
CARPILIIDAE,Carpilius convexus,"(Forskål, 1775)",,75136
CARPILIIDAE,Carpilius maculatus,"(Linnaeus, 1758)",,75137
PORTUNIDAE,Carupa tenuipes,"Dana, 1851",,75083
NACELLIDAE,Cellana exarata,"(Reeve, 1854)",,119339
NEREIDIDAE,Ceratonereis tentaculata,"Kinberg, 1866",,85508
CERITHIIDAE,Cerithidium diplax,,,5163
CERITHIIDAE,Cerithium atromarginatum,"Dautzenberg & Bouge, 1933",,119364
CERITHIIDAE,Cerithium columna,"G. B. Sowerby I, 1834",,117208
CERITHIIDAE,Cerithium echinatum,"Lamarck, 1822",,117209
CERITHIIDAE,Cerithium egenum,"Gould, 1849",,127466
CERITHIIDAE,Cerithium interstriatum,,,5147
CERITHIIDAE,Cerithium nesioticum,"Pilsbry & Vanatta, 1906",,117210
CERITHIIDAE,Cerithium placidum,"Gould, 1861",,127561
CERITHIIDAE,Cerithium rostratum,"A. Adams in G. B. Sowerby II, 1855",,119365
CERITHIIDAE,Cerithium zebrum,"Kiener, 1841",,119369
CESTOPLANIDAE,Cestoplana HAW01,,,178857
CESTOPLANIDAE,Cestoplana HAW02,,,178858
CHAETOPTERIDAE,Chaetopterus JMM09,,,178859
CHAMIDAE,Chama asperella,"Lamarck, 1819",,117251
RANELLIDAE,Charonia tritonis,"(Linnaeus, 1758)",,5866
PORTUNIDAE,Charybdis hellerii,"(A. Milne-Edwards, 1867)",,70364
CALYPTRAEIDAE,Cheilea equestris,"(Linnaeus, 1758)",,5554
CALYPTRAEIDAE,Cheilea HAW01,,,178860
AGLAJIDAE,Chelidonura alisonae,"Gosliner, 2011",,117282
AGLAJIDAE,Chelidonura fulvipunctata,"Baba, 1938",,117291
AGLAJIDAE,Chelidonura fulvipunctata HAW01,,,178664
AGLAJIDAE,Chelidonura hirundinina,"(Quoy and Gaimard, 1833)",,14597
DARWINELLIDAE,Chelonaplysilla erecta,,,102003
DARWINELLIDAE,Chelonaplysilla JV01,,,178946
DARWINELLIDAE,Chelonaplysilla JV02,,,178947
MURICIDAE,Chicoreus insularum,"(Pilsbry, 1921)",,119401
CHIRIDOTIDAE,Chiridota rigida,"Semper, 1867",,128118
AMPHINOMIDAE,Chloeia flava,"(Pallas, 1766)",,84989
XANTHIDAE,Chlorodiella cytherea,"(Dana, 1852)",,75174
XANTHIDAE,Chlorodiella laevissima,"(Dana, 1852)",,75175
PICKWORTHIIDAE,Chrystella suta,"(Pilsbry, 1918)",,158163
CHTHAMALIDAE,Chthamalus proteus,"Dando and Southward, 1980",,75415
DIOGENIDAE,Ciliopagurus strigatus,"(J. F. W. Herbst, 1804)",,74903
CIROLANIDAE,Cirolana parva,"Hansen, 1890",,58201
CIROLANIDAE,Cirolana parva HAW01,,,178665
CHALINIDAE,Cladocroce burapha,"Putchakarn, de Weerdt, Sonchaeng & van Soest, 2004",,178595
TROCHIDAE,Clanculus stigmatarius,"A. Adams, 1853",,119452
DIOGENIDAE,Clibanarius zebra,"(Dana, 1851)",,74904
BUCCINIDAE,Clivipollia costata,"(Pease, 1860)",,129444
CLYPEASTERIDAE,Clypeaster reticulatus,"(Linnaeus, 1758)",,117629
CAMPANULARIIDAE,Clytia gracilis,"(M. Sars, 1850)",,29779
CAMPANULARIIDAE,Clytia HAW01,,,178861
LUCINIDAE,Codakia punctata,"(Linnaeus, 1758)",,119480
LUCINIDAE,Codakia tigerina,"(Linnaeus, 1758)",,117663
COLLONIIDAE,Collonista rubricincta,"(Mighels, 1845)",,119490
ECHINOMETRIDAE,Colobocentrotus atratus,"(Linnaeus, 1758)",,117690
BUCCINIDAE,Colubraria muricata,"([Lightfoot, 1786])",,119491
CONIDAE,Conus abbreviatus,"Reeve, 1843",,117775
CONIDAE,Conus bandanus,"Hwass in Bruguière, 1792",,117786
CONIDAE,Conus ebraeus,"Linnaeus, 1758",,117801
CONIDAE,Conus imperialis,"Linnaeus, 1758",,117822
CONIDAE,Conus leopardus,"(Röding, 1798)",,117830
CONIDAE,Conus litoglyphus,"Hwass in Bruguière, 1792",,117831
CONIDAE,Conus lividus,"Hwass in Bruguière, 1792",,117833
CONIDAE,Conus marmoreus,"Linnaeus, 1758",,117839
CONIDAE,Conus miles,"Linnaeus, 1758",,117841
CONIDAE,Conus moreleti,"Crosse, 1858",,119605
CONIDAE,Conus nanus,"G. B. Sowerby I, 1833",,119608
CONIDAE,Conus obscurus,"G. B. Sowerby I, 1833",,117851
CONIDAE,Conus pennaceus,"Born, 1778",,117807
CONIDAE,Conus planorbis,"Born, 1778",,117857
CONIDAE,Conus pulicarius,"Hwass in Bruguière, 1792",,117858
CONIDAE,Conus quercinus,"[Lightfoot], 1786",,117861
CONIDAE,Conus rattus,"Hwass in Bruguière, 1792",,117862
CONIDAE,Conus spiceri,"Bartsch & Rehder, 1943",,119625
CONIDAE,Conus sponsalis,,,14436
CONIDAE,Conus vexillum,"Gmelin, 1789",,11906
CONVOLUTIDAE,Convolutriloba longifissura,"Bartolomaeus & Balzer, 1997",,130621
ENDODONTIDAE,Cookeconcha cookei,"(Cockerell, 1933)",,230797
ENDODONTIDAE,Cookeconcha hystricella,"(L. Pfeiffer, 1859)",,230798
ENDODONTIDAE,Cookeconcha hystrix,"(L. Pfeiffer, 1846)",,153942
CALLIANASSIDAE,Corallianassa HAW01,,,178862
CALLIANASSIDAE,Corallianassa HAW02,,,178863
CORALLIOPHILIDAE,Coralliophila fimbriata,"(A. Adams, 1854)",,119654
CORALLIOPHILIDAE,Coralliophila monodonta,"(Blainville, 1832)",,119656
CORALLIOPHILIDAE,Coralliophila violacea,"(Kiener, 1836)",,117888
CORELLIDAE,Corella minuta,"Traustedt, 1882",,100247
FACELINIDAE,Cratena sp. #1 of Pittman & Fiene accessed 2020,,,178864
CALYPTRAEIDAE,Crepidula aculeata,"(Gmelin, 1791)",,5508
CYPRAEIDAE,Cribrarula gaskoini,"(Reeve, 1846)",,118047
CALYPTRAEIDAE,Crucibulum spinosum,"(G. B. Sowerby I, 1824)",,5546
LUCINIDAE,Ctena bella,"(Conrad, 1837)",,20226
OREASTERIDAE,Culcita novaeguineae,"Müller & Troschel, 1842",,118128
VERMETIDAE,Cupolaconcha meroclista,"(Hadfield & Kay in Hadfield et al., 1972)",,131462
PORTUNIDAE,Cycloachelous suborbicularis,"(Stephenson, 1975)",,178596
XANTHIDAE,Cyclodius nitidus,Dana 1852,,131619
XANTHIDAE,Cyclodius obscurus,"(Hombron & Jacquinot, 1846)",,131620
XANTHIDAE,Cyclodius paumotensis,"(Rathbun, 1907)",,154076
VARUNIDAE,Cyclograpsus henshawi,"M. J. Rathbun, 1902",,75308
CALIPHYLLIDAE,Cyerce elegans,"Bergh, 1870",,118191
RANELLIDAE,Cymatium aquatile,"(Reeve, 1844)",,5850
RANELLIDAE,Cymatium intermedius,"(Pease, 1869) [sic]",,132000
RANELLIDAE,Cymatium mundum,"(Gould, 1849)",,2904
RANELLIDAE,Cymatium muricinum,"(Roding, 1798)",,5834
RANELLIDAE,Cymatium nicobaricum,"(Roding, 1798)",,5840
RANELLIDAE,Cymatium pileare,"(Linnaeus, 1758)",,5819
CYPRAEIDAE,Cypraea alisonae,"Burgess, 1983",,118268
CYPRAEIDAE,Cypraea pellucens,"Melvill, 1888",,178226
CYPRAEIDAE,Cypraea tigris,"Linnaeus, 1758",,118489
CYPRAEIDAE,Cypraea tigris schilderiana,"C. N. Cate, 1961",,179642
MURICIDAE,Cytharomorula lefevreiana,"(Tapparone Canefri, 1880)",,119746
DIOGENIDAE,Dardanus deformis,"(H. Milne Edwards, 1836)",,74906
DIOGENIDAE,Dardanus gemmatus,"(H. Milne Edwards, 1848)",,74907
DIOGENIDAE,Dardanus sanguinocarpus,"Degener, 1925",,74912
DENDRODORIDIDAE,Dendrodoris fumata,"(Rüppell & Leuckart, 1830)",,118607
DENDRODORIDIDAE,Dendrodoris nigra,"(Stimpson, 1855)",,118611
DENDRODORIDIDAE,Dendrodoris tuberculosa,"(Quoy & Gaimard, 1832)",,118615
VERMETIDAE,Dendropoma gregarium,"Hadfield & Kay in Hadfield et al., 1972",,132771
VERMETIDAE,Dendropoma gregarium HAW01,,,178666
VERMETIDAE,Dendropoma HAW01,,,178865
VERMETIDAE,Dendropoma platypus,"(Mörch, 1861)",,132776
DIDEMNIDAE,Didemnum perlucidum,"Monniot F., 1983",,118732
FISSURELLIDAE,Diodora octagona,"(Reeve, 1850)",,131787
FISSURELLIDAE,Diodora ruppellii,"(G. B. Sowerby I, 1835)",,118744
DIPHYIDAE,Diphyes HAW01,,,178866
LICHENOPORIDAE,Disporella HAW01,,,178867
LICHENOPORIDAE,Disporella HAW02,,,178868
LICHENOPORIDAE,Disporella HAW03,,,178869
LICHENOPORIDAE,Disporella HAW04,,,178870
LICHENOPORIDAE,Disporella HAW05,,,178871
APLYSIIDAE,Dolabella auricularia,"(Lightfoot, 1786)",,118838
NOTARCHIDAE,Dolabrifera dolabrifera,"(Rang, 1828)",,14825
MITRIDAE,Domiporta carnicolor,"(Reeve, 1844)",,119784
DORIDIDAE,Doriopsis pecten,"(Collingwood, 1881)",,118879
DORVILLEIDAE,Dorvillea moniloceras,"(Moore, 1909)",,85987
DORVILLEIDAE,Dorvillea moniloceras HAW01,,,178667
DORVILLEIDAE,Dorvillea moniloceras HAW02,,,178668
MURICIDAE,Drupa albolabris,"(Blainville, 1832)",,134068
MURICIDAE,Drupa aperta,"(Blainville, 1832)",,119808
MURICIDAE,Drupa morum,"Röding, 1798",,119811
MURICIDAE,Drupa ricinus,"(Linnaeus, 1758)",,119812
MURICIDAE,Drupa rubusidaeus,"Röding, 1798",,119813
MURICIDAE,Drupella cornus,"(Röding, 1798)",,119815
DYSIDEIDAE,Dysidea arenaria,"Bergquist, 1965",,136400
DYSIDEIDAE,Dysidea JV03,,,178948
DYSIDEIDAE,Dysidea JV06,,,178949
DYSIDEIDAE,Dysidea pallescens,"Schmidt, 1862",,101777
RASPAILIIDAE,Echinodictyum JV01,,,178950
EUMEDONIDAE,Echinoecus pentagonus,"(A. Milne-Edwards, 1879)",,75138
LITTORINIDAE,Echinolittorina hawaiiensis,"(Rosewater & Kadolsky, 1981)",,119834
ECHINOMETRIDAE,Echinometra mathaei,,,26966
ECHINOMETRIDAE,Echinometra oblonga,"(Blainville, 1825)",,136588
ECHINOMETRIDAE,Echinostrephus aciculatus,"A. Agassiz, 1863",,136635
DIADEMATIDAE,Echinothrix calamaris,"(Pallas, 1774)",,136637
DIADEMATIDAE,Echinothrix diadema,"(Linnaeus, 1758)",,27054
PEROPHORIDAE,Ecteinascidia HAW01,,,178872
ELYSIIDAE,Elysia degeneri,"Ostergaard, 1955",,137182
ELYSIIDAE,Elysia HAW01,,,178873
ELYSIIDAE,Elysia sp. #6 of Pittman & Fiene accessed 2020,,,178874
ELYSIIDAE,Elysia tomentosa,"K. Jensen, 1997",,137199
ELYSIIDAE,Elysia tomentosa sp. 5 of Krug et al. 2013,,,178669
ENDODONTIDAE,Endodonta fricki,"(L. Pfeiffer, 1858)",,154273
ENDODONTIDAE,Endodonta marsupialis,"Pilsbry & Vanatta, 1905",,164477
BUCCINIDAE,Engina albocincta,"Pease, 1860",,132628
EPITONIIDAE,Epifungium ulu,"(Pilsbry, 1921)",,132763
EPITONIIDAE,Epitonium sandwichense,"(Nyst, 1871)",,119880
TRIVIIDAE,Eratoena sandwichensis,"(G. B. Sowerby II, 1859)",,154307
CYPRAEIDAE,Erosaria helvola,"(Linnaeus, 1758)",,118381
SEMELIDAE,Ervilia sandwichensis,,,20596
XANTHIDAE,Etisus bifrontalis,"(Edmondson, 1935)",,75178
XANTHIDAE,Etisus electra,"(J. F. W. Herbst, 1801)",,75181
XANTHIDAE,Etisus laevimanus,"J. W. Randall, 1840",,75182
VERMETIDAE,Eualetes tulipa,"(Rousseau in Chenu, 1843)",,133006
SYNAPTIDAE,Euapta tahitiensis,"Cherbonnier, 1955",,138060
TROCHIDAE,Euchelus corrugatus,,,12216
CIDARIDAE,Eucidaris metularia,"(Lamarck, 1816)",,138159
GONEPLACIDAE,Eucrate laevis,"(Borradaile, 1903)",,157539
EUDENDRIIDAE,Eudendrium capillare,"Alder, 1856",,34190
CLAVELINIDAE,Eudistoma HAW01,,,178875
SPIRAXIDAE,Euglandina rosea,"(Ferussac, 1818)",,7227
EUNICIDAE,Eunice afra,"Peters, 1854",,85827
EUNICIDAE,Eunice antennata,"(Savigny, 1820)",,85815
EUNICIDAE,Eunice antennata HAW01,,,178670
EUNICIDAE,Eunice antennata HAW02,,,178671
COLUMBELLIDAE,Euplica ionida,"(Duclos, 1840)",,133299
COLUMBELLIDAE,Euplica livescens,"(Reeve, 1859)",,119923
COLUMBELLIDAE,Euplica turturina,"(Lamarck, 1822)",,119925
COLUMBELLIDAE,Euplica varians,"(G. B. Sowerby I, 1832)",,119926
TEREBELLIDAE,Eupolymnia HAW01,,,178876
TEREBELLIDAE,Eupolymnia HAW02,,,178877
STROMBIDAE,Euprotomus vomer,"(Röding, 1798)",,119932
SEPIOLIDAE,Euprymna scolopes,"Berry, 1913",,23026
CHTHAMALIDAE,Euraphia hembeli,"Conrad, 1837",,74535
AMPHINOMIDAE,Eurythoe HAW01,,,178878
AMPHINOMIDAE,Eurythoe HAW02,,,178879
TRIPHORIDAE,Euthymella concors,"(Hinds, 1843)",,119943
XANTHIDAE,Euxanthus HAW01,,,178880
PALICIDAE,Exopalicus maculatus,"(Edmondson, 1930)",,75277
DENTALIIDAE,Fissidentalium complexum,"(Dall, 1895)",,132799
PLANAXIDAE,Fossarus garrettii,"Pease, 1868",,139469
CARDIIDAE,Fragum mundum,"(Reeve, 1845)",,20558
FRENULINIDAE,Frenulina sanguinolenta,"(Gmelin, 1790)",,139499
