Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
AMPHINOMIDAE,Pherecardia striata HAW02,,,178686
PHILINIDAE,Philine orca,"Gosliner, 1988",,141107
PSEUDOCEROTIDAE,Phrikoceros 1 of Hoover accessed 2020,,,178912
PHYLLIDIIDAE,Phyllidia varicosa,"Lamarck, 1801",,141173
PHYLLIDIIDAE,Phyllidiella pustulosa,"(Cuvier, 1804)",,148759
PHYLLIDIIDAE,Phyllidiella pustulosa HAW01,,,178687
PHYLLIDIIDAE,Phyllidiella pustulosa HAW02,,,178688
CHAETOPTERIDAE,Phyllochaetopterus arabicus,"Grube, 1870",,157380
CHAETOPTERIDAE,Phyllochaetopterus verrilli,"Treadwell, 1943",,86463
FACELINIDAE,Phyllodesmium sp. #1 of Pittman & Fiene accessed 2020,,,178913
PHYLLODOCIDAE,Phyllodoce hawaiia,"(Hartman, 1966)",,157385
PHYLLODOCIDAE,Phyllodoce hawaiia HAW01,,,178689
PHYLLODOCIDAE,Phyllodoce hawaiia HAW02,,,178690
PHYSALIIDAE,Physalia physalis,"(Linnaeus, 1758)",,35842
XANTHIDAE,Pilodius areolatus,"(H. Milne Edwards, 1834)",,75230
HIPPONICIDAE,Pilosabia trigona,"(Gmelin, 1791)",,121441
PILUMNIDAE,Pilumnus HAW01,,,178914
PILUMNIDAE,Pilumnus HAW02,,,178915
PILUMNIDAE,Pilumnus vespertilio,"(J. C. Fabricus, 1793)",,75165
PTERIIDAE,Pinctada maculata,"(Gould, 1850)",,141208
PTERIIDAE,Pinctada margaritifera,"(Linnaeus, 1758)",,11680
TELLINIDAE,Pinguitellina robusta,"(Hanley, 1844)",,143875
PINNIDAE,Pinna muricata,"Linnaeus, 1758",,11879
BUCCINIDAE,Pisania ignea,"(Gmelin, 1791)",,121454
PLAKINIDAE,Plakinastrella JV01,,,178963
PLAKOBRANCHIDAE,Plakobranchus ianthobaptus,"Gould, 1852",,178229
PLAKINIDAE,Plakortis JV01,,,178964
NEREIDIDAE,Platynereis dumerilii,"Audouin and Milne-Edwards, 1833",,85571
XANTHIDAE,Platypodia eydouxi,"(A. Milne-Edwards, 1865)",,153030
FUNGIIDAE,Pleuractis granulosa,"(Klunzinger, 1879)",,157644
PLEUROBRANCHIDAE,Pleurobranchus forskalii,"Rüppell & Leuckart, 1828",,148828
PLEUROBRANCHIDAE,Pleurobranchus peronii,"Cuvier, 1804",,148832
PLEUROBRANCHIDAE,Pleurobranchus varians,"Pease, 1860",,157668
HELICINIDAE,Pleuropoma oahuensis,"Pilsbry and Cooke, 1908",,22919
PLUMULARIIDAE,Plumularia HAW01,,,178916
PLUMULARIIDAE,Plumularia HAW02,,,178917
CALIPHYLLIDAE,Polybranchia jensenae,"Medrano, Krug, Gosliner, Biju Kumar & Valdés, 2018",,178608
TEREBELLIDAE,Polycirrus HAW01,,,178918
XANTHIDAE,Polydectus cupulifer,"(Latreille, 1812)",,75240
POLYGORDIIDAE,Polygordius HAW01,,,178919
OPHELIIDAE,Polyophthalmus HAW01,,,178920
PORTUNIDAE,Portunus hawaiiensis,"Stephenson, 1968",,157842
PORTUNIDAE,Portunus pubescens,"(Dana, 1852)",,75108
BUCCINIDAE,Prodotia iostoma,"(Gray, 1833)",,116999
CIRRATULIDAE,Protocirrineris mascaratus,"Magalhães & Bailey-Brock, 2013",,157904
SUBERITIDAE,Protosuberites JV01,,,178965
PSEUDOCEROTIDAE,Pseudobiceros 11 of Hoover accessed 2020,,,178921
PSEUDOCEROTIDAE,Pseudobiceros fulgor,"Newman & Cannon, 1994",,157956
PSEUDOCEROTIDAE,Pseudobiceros stellae,"Newman & Cannon, 1994",,157961
PSEUDOCERITIDAE,Pseudoceros dimidiatus,"Graff, 1893",,157973
PSEUDOCERITIDAE,Pseudoceros E of Hoover accessed 2020,,,178922
PSEUDOCERITIDAE,Pseudoceros leptostictus,"Bock, 1913",,157977
PSEUDOCERITIDAE,Pseudoceros paralaticlavus,"Newman & Cannon, 1994",,157978
PSEUDOCERITIDAE,Pseudoceros sp. 17 of Newman & Cannon,,,178923
XANTHIDAE,Pseudoliomera speciosa,"(Dana, 1852)",,75242
XANTHIDAE,Pseudoliomera variolosa,"(Borradaile, 1902)",,75243
PSEUDOSQUILLIDAE,Pseudosquilla ciliata,"(J. C. Fabricius, 1787)",,60213
MITRIDAE,Pterygia punctata,"(Swainson, 1821)",,120313
PTYCHODERIDAE,Ptychodera flava,"Eschscholtz, 1825",,158054
EULIMIDAE,Pulicicochlea faba,"Ponder & Gooding, 1978",,158076
CYPRAEIDAE,Purpuradusta fimbriata,"(Gmelin, 1791)",,118363
COSTELLARIIDAE,Pusia lauta,"(Reeve, 1845)",,122398
PAGURIDAE,Pygmaeopagurus hadrochirus,"McLaughlin, 1986",,74938
PAGURIDAE,Pylopaguropsis keijii,"McLaughlin and Haig, 1989",,74939
PYRAMIDELLIDAE,Pyramidella dolabrata,"(Linnaeus, 1758)",,6638
CONIDAE,Pyrgocythara mighelsi,"(Kay, 1979)",,129301
TELLINIDAE,Quidnipagus palatam,"(Iredale, 1929)",,20792
LASAEIDAE,Radobornia bryani,"(Pilsbry, 1921)",,158236
NASSARIIDAE,Reticunassa paupera,"(Gould, 1850)",,120996
CERITHIIDAE,Rhinoclavis articulata,"(A. Adams & Reeve, 1850)",,121655
CERITHIIDAE,Rhinoclavis sinensis,"(Gmelin, 1791)",,121659
OCEANIDAE,Rhizogeton fusiformis,"L. Agassiz, 1862",,34042
RISSOELLIDAE,Rissoella sp.,"Gray, 1847",,772
RISSOIDAE,Rissoina ambigua,"(Gould, 1849)",,121671
RISSOIDAE,Rissoina ephamilla,,,4182
RISSOIDAE,Rissoina miltozona,,,4183
RISSOIDAE,Rissoina turricula,,,4185
VENERIDAE,Ruditapes philippinarum,"(Adams & Reeve, 1850)",,121685
SABELLIDAE,Sabellastarte spectabilis,"(Grube, 1878)",,149753
HIPPONICIDAE,Sabia conica,"(Schumacher, 1817)",,5477
ALPHEIDAE,Salmoneus HAW01,,,178924
ALPHEIDAE,Salmoneus HAW02,,,178925
SAMLIDAE,Samla bicolor,"(Kelaart, 1858)",,139314
HIPPOLYTIDAE,Saron HAW01,,,178926
HIPPOLYTIDAE,Saron neglectus,"De Man, 1902",,74789
MITRIDAE,Scabricola lugubris,"(Swainson, 1821)",,120797
TYPHLOPLANIDAE,Schizoporella HAW01,,,178927
RISSOIDAE,Schwartziella triticea,"(Pease, 1861)",,121728
GALEOMMATIDAE,Scintilla hiloa,"Dall, Bartsch & Rehder, 1938",,158565
TELLINIDAE,Scutarcopagia scobinata,"(Linnaeus, 1758)",,122031
PORTUNIDAE,Scylla serrata,"(Forskål, 1775)",,75112
SCYLLAEIDAE,Scyllaea HAW01,,,178928
CAPITELLIDAE,Scyphoproctus HAW01,,,178929
SEMELIDAE,Semele australis,"(G. B. Sowerby I, 1833)",,121747
COLUMBELLIDAE,Seminella peasei,"(Martens & Langkavel, 1871)",,129671
MURICIDAE,Semiricinula turbinoides,"(Blainville, 1832)",,121773
LOLIGINIDAE,Sepioteuthis HAW01,,,178930
RANELLIDAE,Septa occidentalis,"(Mörch, 1877)",,142883
RANELLIDAE,Septa rubecula,"(Linnaeus, 1758)",,121777
MYTILIDAE,Septifer cumingii,"Récluz, 1849",,158657
SERTULARIIDAE,Sertularia marginata,"(Kirchenpauer, 1864)",,30323
SIPHONARIIDAE,Siphonaria normalis,"Gould, 1846",,121807
SIPHONARIIDAE,Siphonaria normalis HAW01,,,178691
SIPHONARIIDAE,Siphonaria normalis HAW02,,,178692
SIPUNCULIDAE,Siphonosoma HAW01,,,178931
HAMINOEIDAE,Smaragdinella calyculata,"(Broderip & G. B. Sowerby I, 1829)",,121823
XANTHIDAE,Soliella flava,"(Rathbun, 1894)",,158869
CLIONAIDAE,Spheciospongia solida,"(Ridley & Dendy, 1886)",,178611
CLIONAIDAE,Spheciospongia vagabunda,"(Ridley, 1884)",,158891
SPIONIDAE,Spio HAW01,,,178932
SPIRASTRELLIDAE,Spirastrella JV01,,,178966
SERPULIDAE,Spirobranchus corniculatus,"(Grube, 1862)",,149759
SPONDYLIDAE,Spondylus nicobaricus,"Schreibers, 1793",,121863
AEOLIDIIDAE,Spurilla braziliana,"MacFarland, 1909",,149004
ISCHNOCHITONIDAE,Stenoplax petaloides,"(Gould, 1846)",,143362
STENOPODIDAE,Stenopus hispidus,"(Olivier, 1811)",,68057
STICHOPODIDAE,Stichopus horrens,"Selenka, 1867",,149612
CAECIDAE,Strebloceras subannulatum,"de Folin, 1880",,149015
MITRIDAE,Strigatella ambigua,"(Swainson, 1829)",,174463
MITRIDAE,Strigatella assimilis,"(Pease, 1868)",,137571
MITRIDAE,Strigatella auriculoides,"(Reeve, 1845)",,180784
MITRIDAE,Strigatella coronata,"(Lamarck, 1811)",,233534
MITRIDAE,Strigatella fastigium,"(Reeve, 1845)",,120781
MITRIDAE,Strigatella litterata,"(Lamarck, 1811)",,120792
MITRIDAE,Strigatella pudica,"(Pease, 1860)",,158042
MITRIDAE,Strigatella ticaonica,"(Reeve, 1844)",,120821
HELICINIDAE,Sturanya subsculpta,"(Neal, 1934)",,233582
STYELIDAE,Styela HAW01,,,178933
CERITHIIDAE,Styliferina goniochila,,,5160
NOTARCHIDAE,Stylocheilus longicauda,"(Quoy and Gaimard, 1825)",,14828
MITRIDAE,Subcancilla flammea,,,13715
MITRIDAE,Subcancilla foveolata,,,13713
SUBULINIDAE,Subulina octona,"(Bruguiere, 1792)",,7225
TRIPHORIDAE,Subulophora peasi,"(Jousseaume, 1884)",,121925
SUCCINEIDAE,Succinea strigata,"Pfeiffer, 1855",,7212
MITRIDAE,Swainsonia newcombii,"(Pease, 1869)",,121712
MITRIDAE,Swainsonia olivaeformis,"(Swainson, 1821)",,120310
SYLLIDAE,Syllis gracilis,Grube,,85301
SYLLIDAE,Syllis hyalina,Grube,,85313
SYLLIDAE,Syllis variegata,"Grube, 1860",,159169
STYELIDAE,Symplegma sp.,"Herdman, 1886",,99809
STYELIDAE,Symplegma HAW01,,,178934
ALPHEIDAE,Synalpheus paraneomeris,"Coutière, 1905",,74759
ALPHEIDAE,Synalpheus paraneomeris HAW01,,,178693
ALPHEIDAE,Synalpheus paraneomeris HAW02,,,178694
ALPHEIDAE,Synalpheus streptodactylus,"Coutière, 1905",,74761
TROCHIDAE,Synaptocochlea concinna,,,12233
DISCODORIDIDAE,Tayuva lilacina,"(Gould, 1852)",,131910
MYXILLIDAE,Tedania klausi,"Wulff, 2006",,176202
TEDANIIDAE,Tedania macrodactyla,,,103661
ISOPHELLIIDAE,Telmatactis HAW01,,,178935
MURICIDAE,Tenguella granulata,"(Duclos, 1832)",,122056
TEREBELLIDAE,Terebella HAW01,,,178936
TRICHOBRANCHIDAE,Terebellides HAW01,,,178937
TEREBRIDAE,Terebra amanda,"Hinds, 1844",,122062
TEREBRIDAE,Terebra argus,"Hinds, 1844",,122063
TEREBRIDAE,Terebra funiculata,"Hinds, 1844",,122068
TEREBRIDAE,Terebra guttata,"(Röding, 1798)",,122069
TEREBRIDAE,Terebra nodularis,"Deshayes, 1859",,143985
TEREBRIDAE,Terebra thaanumi,"Pilsbry, 1921",,11909
TEREBRIDAE,Terenolla pygmaea,"(Hinds, 1844)",,144011
TETHYIDAE,Tethya JV01,,,178967
TETHYIDAE,Tethya JV02,,,178968
TETHYIDAE,Tethya JV06,,,178969
PORTUNIDAE,Thalamita admete,"(J. F. W. Herbst, 1803)",,75113
PORTUNIDAE,Thalamita integra,"Dana, 1852",,75122
PORTUNIDAE,Thalamita picta,"Stimpson, 1858",,75126
PORTUNIDAE,Thalamitoides quadridens,"A. Milne-Edwards, 1869",,75134
TEREBELLIDAE,Thelepus HAW01,,,178938
HIPPOLYTIDAE,Thinora maldivensis,"(Borradaile, 1915)",,74826
POLYNOIDAE,Thormora jukesii,"Baird, 1865",,84730
CHROMODORIDIDAE,Thorunna kahuna,"R. F. Johnson & Gosliner, 2001",,149080
ELYSIIDAE,Thuridilla carlsoni,"Gosliner, 1995",,149086
ELYSIIDAE,Thuridilla neona,"Gosliner, 1995",,149094
VERMETIDAE,Thylacodes variabilis,"(Hadfield & Kay, 1972)",,122119
VERMETIDAE,Thylaeodus sp. of Rawlings et al 2010,,,178939
PSEUDOCERITIDAE,Thysanozoon A of Hoover accessed 2020,,,178940
PSEUDOCERITIDAE,Thysanozoon tentaculatum,"(Gray in Pease, 1860)",,159657
CIRRATULIDAE,Timarete hawaiensis,"(Hartman, 1956)",,159662
CIRRATULIDAE,Timarete punctata,"(Grube, 1859)",,159663
TRAPEZIIDAE,Trapezia flavopunctata,"Eydoux and Souleyet, 1842",,35997
TRAPEZIIDAE,Trapezia intermedia,"Miers, 1886",,35998
TRAPEZIDAE,Trapezium oblongum,"(Linnaeus, 1758)",,122167
ALICIIDAE,Triactis producta,"Klunzinger, 1877",,35622
TRICOLIIDAE,Tricolia variabilis,,,19672
STROMBIDAE,Tridentarius dentatus,"(Linnaeus, 1758)",,122177
TRIPHORIDAE,Triphora bicolor,"Pease, 1868",,122186
TRIPHORIDAE,Triphora thaanumi,"Kay, 1979",,159836
TEREBRIDAE,Triplostephanus elliscrossi,"(Bratcher, 1979)",,122193
TOXOPNEUSTIDAE,Tripneustes gratilla,"(Linnaeus, 1758)",,122197
TRIVIIDAE,Trivirostra edgari,"(Shaw, 1909)",,122215
TRIVIIDAE,Trivirostra hordacea,"(Kiener, 1844)",,122216
TROCHIDAE,Trochus intextus,,,19640
SYLLIDAE,Trypanosyllis hawaiiensis,"Hartmann-Schroeder, 1965",,85332
SYLLIDAE,Trypanosyllis hawaiiensis HAW01,,,178695
SYLLIDAE,Trypanosyllis hawaiiensis HAW02,,,178696
SYLLIDAE,Trypanosyllis hawaiiensis HAW03,,,178697
SYLLIDAE,Trypanosyllis luzonensis,"(Pillai, 1965)",,178613
AGLAJIDAE,Tubulophilinopsis pilsbryi,"(Eliot, 1900)",,149171
GLYCYMERIDIDAE,Tucetona diomedea,"(Dall, Bartsch & Rehder, 1938)",,144579
FISSURELLIDAE,Tugali oblonga,"(Pease, 1861)",,122243
TURBINIDAE,Turbo sandwicensis,"Pease, 1861",,12279
TURRIDAE,Turridrupa albofasciata,"(E. A. Smith, 1877)",,144777
TURRIDAE,Turridrupa bijubata,"(Reeve, 1843)",,122269
OCEANIDAE,Turritopsis nutricula,"(McCrady, 1857)",,34036
XANTHIDAE,Tweedieia laysani,"(M. J. Rathbun, 1906)",,75244
SYLLIDAE,Typosyllis variegata,"(Grube, 1860)",,85347
PALAEMONIDAE,Urocaridella HAW01,,,178941
CARDIIDAE,Vasticardium hawaiensis,"(Dall, Bartsch & Rehder, 1938)",,122326
CARDIIDAE,Vasticardium orbita,"(Broderip & G. B. Sowerby I, 1833)",,122328
CHROMODORIDIDAE,Verconia simplex,"(Pease, 1871)",,149212
SERPULIDAE,Vermiliopsis torquata,"Treadwell, 1943",,87339
MURICIDAE,Vexilla vexillum,"(Gmelin, 1791)",,122363
COSTELLARIIDAE,Vexillum aureolatum,"(Reeve, 1844)",,122367
COSTELLARIIDAE,Vexillum cancellarioides,"(Anton, 1838)",,122371
COSTELLARIIDAE,Vexillum catenatum,"(Broderip, 1836)",,145093
COSTELLARIIDAE,Vexillum diutenerum,"(Hervier, 1897)",,145113
COSTELLARIIDAE,Vexillum interruptum,"(Anton, 1838)",,145132
COSTELLARIIDAE,Vexillum modestum,"(Reeve, 1845)",,122411
COSTELLARIIDAE,Vexillum pacificum,"(Reeve, 1845)",,122413
COSTELLARIIDAE,Vexillum piceum,"(Pease, 1860)",,160235
COSTELLARIIDAE,Vexillum tusum,"(Reeve, 1845)",,145189
COSTELLARIIDAE,Vexillum unifasciale,"(Lamarck, 1811)",,122432
COSTELLARIIDAE,Vexillum unifasciatum,,,13672
PILUMNIDAE,Viaderiana HAW01,,,178942
TRIPHORIDAE,Viriola abbotti,"(F. Baker & Spicer, 1935)",,122437
TRIPHORIDAE,Viriola incisa,"(Pease, 1861)",,122441
TRIPHORIDAE,Viriolopsis fallax,"(Kay, 1979)",,122448
RISSOIDAE,Vitricithna marmorata,"(Hedley, 1907)",,160257
MURICIDAE,Vitularia miliaris,"(Gmelin, 1791)",,122454
MURICIDAE,Vitularia sandwichensis,"(Pease, 1861)",,122456
SIPHONARIIDAE,Williamia radiata,,,6846
XANTHIDAE,Xanthias canaliculatus,"M. J. Rathbun, 1906",,75245
XANTHIDAE,Xanthias latifrons,"(De Man, 1888)",,75250
PORTUNIDAE,Xiphonectes longispinosus,"(Dana, 1852)",,160370
PORTUNIDAE,Xiphonectes tuberculosus,"(A. Milne-Edwards, 1861)",,178615
PHENACOLEPADIDAE,Zacalantica scobinata,"(Gould, 1859)",,157324
COLUMBELLIDAE,Zafrona striatula,"(Dunker, 1871)",,129633
RISSOIDAE,Zebina tridentata,"(Michaud, 1830)",,122535
MITRIDAE,Ziba verrucosa,"(Reeve, 1845)",,145599
MITRIDAE,Ziba verrucosa foveolata,"(Dunker, 1863)",,181012
,[Acotylea] HAW01,,,178720
,[Acotylea] HAW02,,,178721
,[Acotylea] HAW03,,,178722
,[Acotylea] HAW04,,,178723
,[Acotylea] HAW05,,,178724
ACTINIIDAE,[Actiniidae] HAW01,,,178725
,[Amphipoda] HAW02,,,178726
,[Amphipoda] HAW03,,,178727
AMPHIURIDAE,[Amphiuridae] HAW01,,,178728
ANCORINIDAE,[Ancorinidae] JV03,,,178794
APLYSIIDAE,[Aplysiidae] HAW01,,,178729
APSEUDIDAE,[Apseudidae] HAW01,,,178795
,[Ascidiacea] HAW01,,,178730
,[Ascidiacea] HAW02,,,178731
,[Asellota] HAW01,,,178732
ASTERINIDAE,[Asterinidae] HAW01,,,178733
,[Axinellida] JV01,,,178796
,[Bryozoa] HAW01,,,178734
,[Bryozoa] HAW02,,,178735
,[Bryozoa] HAW03,,,178736
,[Bryozoa] HAW04,,,178737
,[Bryozoa] HAW05,,,178738
,[Bryozoa] HAW06,,,178739
,[Bryozoa] HAW07,,,178740
,[Bryozoa] HAW08,,,178741
,[Bryozoa] HAW09,,,178742
,[Bubarida] JV02,,,178797
,[Calcarea] JV01,,,178798
,[Calcarea] JV03,,,178799
,[Calcarea] JV04,,,178800
,[Caprellidea] HAW01,,,178743
CHALINIDAE,[Chalinidae] JV02,,,178801
,[Chondrillida] JV01,,,178802
,[Chondrillida] JV03,,,178803
CHONDROSIIDAE,[Chondrosiidae] JV04,,,178805
,[Chondrosiida] JV01,,,178804
CLATHRINIDAE,[Clathrinidae] JV08,,,178744
CLATHRINIDAE,[Clathrinidae] JV11,,,178745
,[Clionaida] JV01,,,178806
,[Copepoda] HAW01,,,178746
CORYNIDAE,[Corynidae] HAW01,,,178747
,[Demospongiae] JV10,,,178748
,[Dendroceratida] JV01,,,178807
,[Dictyoceratida] JV02,,,178808
,[Dictyoceratida] JV06,,,178809
DIDEMNIDAE,[Didemnidae] HAW01,,,178749
DIDEMNIDAE,[Didemnidae] HAW03,,,178750
DIDEMNIDAE,[Didemnidae] HAW04,,,178751
DIDEMNIDAE,[Didemnidae] HAW05,,,178752
DIDEMNIDAE,[Didemnidae] HAW06,,,178753
DIDEMNIDAE,[Didemnidae] HAW07,,,178754
DROMIIDAE,[Dromiidae] HAW01,,,178755
DYSIDEIDAE,[Dysideidae] JV01,,,178810
EULIMIDAE,[Eulimidae] HAW01,,,178756
EURYLEPTIDAE,[Euryleptidae] 9 of Hoover accessed 2020,,,178757
FABRICIIDAE,[Fabriciidae] HAW01,,,178758
GALEOMMATIDAE,[Galeommatidae] HAW01,,,178759
HAMINOEIDAE,[Haminoeidae] sp. #14 of Pittman & Fiene accessed 2020,,,178760
,[Haplosclerida] JV02,,,178811
,[Haplosclerida] JV11,,,178812
,[Haplosclerida] JV14,,,178813
HOPLOPLANIDAE,[Hoploplanidae] HAW01,,,178761
,[Isopoda] HAW01,,,178762
LEUCETTIDAE,[Leucettidae] JV03,,,178814
,[Leucosolenida] JV02,,,178815
,[Leucosolenida] JV04,,,178816
,[Leucosolenida] JV13,,,178817
,[Leucosolenida] JV14,,,178818
,[Leucosolenida] JV19,,,178819
,[Leucosolenida] JV20,,,178820
LEUCOSOLENIIDAE,[Leucosoleniidae] JV01,,,178821
LEUCOSOLENIIDAE,[Leucosoleniidae] JV02,,,178822
LEUCOSOLENIIDAE,[Leucosoleniidae] JV03,,,178823
LEUCOSOLENIIDAE,[Leucosoleniidae] JV05,,,178824
LINEIDAE,[Lineidae] HAW01,,,178763
,[Octocorallia] HAW01,,,178764
OSTREIDAE,[Ostreidae] HAW01,,,178765
PALAEMONIDAE,[Palaemonidae] HAW01,,,178766
PALAEMONIDAE,[Palaemonidae] HAW02,,,178767
PALAEMONIDAE,[Palaemonidae] HAW03,,,178768
PISCICOLIDAE,[Piscicolidae] HAW01,,,178769
PISCICOLIDAE,[Piscicolidae] HAW02,,,178770
,[Poecilosclerida] JV01,,,178825
,[Poecilosclerida] JV06,,,178826
,[Poecilosclerida] JV08,,,178827
,[Poecilosclerida] JV09,,,178828
,[Poecilosclerida] JV13,,,178829
,[Poecilosclerida] JV14,,,178830
,[Porifera] HAW02,,,178771
PROSTHIOSTOMIDAE,[Prosthiostomidae] 3 of Hoover accessed 2020,,,178772
PROSTHIOSTOMIDAE,[Prosthiostomidae] HAW01,,,178773
PSEUDOCEROTIDAE,[Pseudocerotidae] HAW01,,,178774
PSEUDOCEROTIDAE,[Pseudocerotidae] HAW02,,,178775
PSEUDOCEROTIDAE,[Pseudocerotidae] HAW03,,,178776
PSEUDOCEROTIDAE,[Pseudocerotidae] HAW04,,,178777
PTYCHODERIDAE,[Ptychoderidae] HAW01,,,178778
,[Pycnogonida] HAW01,,,178779
,[Pycnogonida] HAW02,,,178780
,[Pycnogonida] HAW03,,,178781
,[Pycnogonida] HAW04,,,178782
PYURIDAE,[Pyuridae] HAW01,,,178783
,[Radiolaria] HAW01,,,178831
,[Radiolaria] HAW02,,,178832
,[Radiolaria] HAW03,,,178833
,[Radiolaria] HAW04,,,178834
,[Radiolaria] HAW05,,,178835
RASPAILIIDAE,[Raspailiidae] JV01,,,178836
SACCULINIDAE,[Sacculinidae] HAW01,,,178784
SCOPALINIDAE,[Scopalinidae] JV01,,,178838
,[Scopalinida] JV01,,,178837
SPHAEROMATIDAE,[Sphaeromatidae] HAW01,,,178785
STYELIDAE,[Styelidae] HAW01,,,178786
STYLOCHIDAE,[Stylochidae] 5 of Hoover accessed 2020,,,178787
SYLLIDAE,[Syllidae] HAW01,,,178788
SYLLIDAE,[Syllidae] HAW02,,,178789
SYLLIDAE,[Syllidae] HAW03,,,178790
TALITRIDAE,[Talitridae] HAW01,,,178791
TEREDINIDAE,[Teredinidae] HAW01,,,178792
THORIDAE,[Thoridae] HAW01,,,178839
VELUTINIDAE,[Velutinidae] HAW01,,,178793